Device ID,Data type,Timestamp,Location,Value,Trust,Output 
1234567919,GPS data,10/26/2023 16:01,"37.7833,-122.4167",79 passengers,0.6,1
1234567920,Sensor data,10/26/2023 2:39,"37.7833,-122.4167",43 mph,0.2,0
1234567921,Infrastructure data,10/26/2023 13:49,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234567922,Traffic camera data,10/26/2023 23:52,"37.7833,-122.4167",185 passengers,0.5,1
1234567923,Sensor data,10/26/2023 23:50,"37.7833,-122.4167",Black car running red light,0.2,0
1234567924,Traffic camera data,10/26/2023 20:19,"37.7833,-122.4167",67 mph,1,1
1234567925,Sensor data,10/26/2023 2:28,"37.7833,-122.4167",83 passengers,0.2,0
1234567926,Sensor data,10/26/2023 7:27,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234567927,Sensor data,10/26/2023 7:43,"37.7833,-122.4167",97 mph,0.9,1
1234567928,GPS data,10/26/2023 8:14,"37.7833,-122.4167",124 passengers,0.8,1
1234567929,GPS data,10/26/2023 10:23,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234567930,Sensor data,10/26/2023 20:55,"37.7833,-122.4167",7 mph,0.1,0
1234567931,Infrastructure data,10/26/2023 5:10,"37.7833,-122.4167",Black car running red light,0,0
1234567932,Traffic camera data,10/26/2023 15:51,"37.7833,-122.4167",36 mph,0.4,0
1234567933,Infrastructure data,10/26/2023 20:01,"37.7833,-122.4167",60 passengers,0.3,0
1234567934,Infrastructure data,10/26/2023 2:56,"37.7833,-122.4167",75 passengers,0.3,0
1234567935,Traffic camera data,10/26/2023 6:28,"37.7833,-122.4167",Black car running red light,0.8,1
1234567936,Traffic camera data,10/26/2023 4:13,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234567937,Sensor data,10/26/2023 5:50,"37.7833,-122.4167",Black car running red light,0.3,0
1234567938,Traffic camera data,10/26/2023 2:00,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234567939,Traffic camera data,10/26/2023 16:10,"37.7833,-122.4167",58 passengers,0.7,1
1234567940,Sensor data,10/26/2023 22:26,"37.7833,-122.4167",23 mph,0.7,1
1234567941,Sensor data,10/26/2023 8:14,"37.7833,-122.4167",Black car running red light,0.6,1
1234567942,Infrastructure data,10/26/2023 9:01,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234567943,GPS data,10/26/2023 18:17,"37.7833,-122.4167",62 mph,0,0
1234567944,GPS data,10/26/2023 11:55,"37.7833,-122.4167",44 mph,0.8,1
1234567945,Infrastructure data,10/26/2023 21:23,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234567946,Traffic camera data,10/26/2023 23:02,"37.7833,-122.4167",4 mph,0.4,0
1234567947,Traffic camera data,10/26/2023 22:55,"37.7833,-122.4167",92 mph,0.2,0
1234567948,Sensor data,10/26/2023 6:40,"37.7833,-122.4167",25 mph,0.4,0
1234567949,GPS data,10/26/2023 3:54,"37.7833,-122.4167",38 passengers,0.6,1
1234567950,GPS data,10/26/2023 14:43,"37.7833,-122.4167",Black car running red light,0.8,1
1234567951,Traffic camera data,10/26/2023 16:34,"37.7833,-122.4167",83 mph,1,1
1234567952,GPS data,10/26/2023 9:43,"37.7833,-122.4167",Black car running red light,0.8,1
1234567953,Infrastructure data,10/26/2023 7:09,"37.7833,-122.4167",22 passengers,0,0
1234567954,GPS data,10/26/2023 18:19,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234567955,Traffic camera data,10/26/2023 6:19,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234567956,Traffic camera data,10/26/2023 13:54,"37.7833,-122.4167",89 mph,0.7,1
1234567957,Traffic camera data,10/26/2023 16:25,"37.7833,-122.4167",93 mph,0.6,1
1234567958,Infrastructure data,10/26/2023 21:46,"37.7833,-122.4167",97 mph,0.3,0
1234567959,Traffic camera data,10/26/2023 17:26,"37.7833,-122.4167",60 mph,0.9,1
1234567960,Sensor data,10/26/2023 14:30,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234567961,GPS data,10/26/2023 5:23,"37.7833,-122.4167",Black car running red light,0.3,0
1234567962,Traffic camera data,10/26/2023 11:17,"37.7833,-122.4167",Black car running red light,0.7,1
1234567963,Infrastructure data,10/26/2023 10:04,"37.7833,-122.4167",31 passengers,0.7,1
1234567964,Infrastructure data,10/26/2023 11:00,"37.7833,-122.4167",113 passengers,0.8,1
1234567965,Sensor data,10/26/2023 0:44,"37.7833,-122.4167",Bridge closure due to construction,0.1,0
1234567966,GPS data,10/26/2023 1:21,"37.7833,-122.4167",70 mph,0.1,0
1234567967,Sensor data,10/26/2023 7:33,"37.7833,-122.4167",Black car running red light,0.3,0
1234567968,GPS data,10/26/2023 8:41,"37.7833,-122.4167",18 passengers,0.2,0
1234567969,GPS data,10/26/2023 23:22,"37.7833,-122.4167",92 mph,0.7,1
1234567970,GPS data,10/26/2023 19:15,"37.7833,-122.4167",44 passengers,0,0
1234567971,Sensor data,10/26/2023 8:20,"37.7833,-122.4167",137 passengers,0.7,1
1234567972,Sensor data,10/26/2023 6:05,"37.7833,-122.4167",63 mph,0.1,0
1234567973,Infrastructure data,10/26/2023 16:42,"37.7833,-122.4167",58 passengers,1,1
1234567974,Infrastructure data,10/26/2023 7:35,"37.7833,-122.4167",65 mph,0.5,1
1234567975,Infrastructure data,10/26/2023 7:11,"37.7833,-122.4167",Black car running red light,0.2,0
1234567976,Infrastructure data,10/26/2023 6:08,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234567977,Sensor data,10/26/2023 23:20,"37.7833,-122.4167",13 mph,0.1,0
1234567978,Sensor data,10/26/2023 21:23,"37.7833,-122.4167",Black car running red light,1,1
1234567979,GPS data,10/26/2023 5:32,"37.7833,-122.4167",Black car running red light,0.4,0
1234567980,Sensor data,10/26/2023 12:56,"37.7833,-122.4167",43 mph,0.3,0
1234567981,GPS data,10/26/2023 6:40,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234567982,Traffic camera data,10/26/2023 12:17,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234567983,Traffic camera data,10/26/2023 18:12,"37.7833,-122.4167",47 mph,0.4,0
1234567984,Traffic camera data,10/26/2023 23:26,"37.7833,-122.4167",Black car running red light,0.5,1
1234567985,GPS data,10/26/2023 21:53,"37.7833,-122.4167",Black car running red light,0.9,1
1234567986,Traffic camera data,10/26/2023 10:37,"37.7833,-122.4167",77 mph,0.3,0
1234567987,Sensor data,10/26/2023 19:04,"37.7833,-122.4167",57 passengers,1,1
1234567988,GPS data,10/26/2023 9:26,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234567989,Traffic camera data,10/26/2023 18:10,"37.7833,-122.4167",126 passengers,0.1,0
1234567990,Infrastructure data,10/26/2023 10:15,"37.7833,-122.4167",Black car running red light,0.6,1
1234567991,Infrastructure data,10/26/2023 21:25,"37.7833,-122.4167",194 passengers,0.3,0
1234567992,Sensor data,10/26/2023 19:55,"37.7833,-122.4167",Black car running red light,0.2,0
1234567993,GPS data,10/26/2023 12:48,"37.7833,-122.4167",Black car running red light,0.4,0
1234567994,GPS data,10/26/2023 5:03,"37.7833,-122.4167",Black car running red light,0,0
1234567995,Infrastructure data,10/26/2023 6:52,"37.7833,-122.4167",Black car running red light,0.7,1
1234567996,Infrastructure data,10/26/2023 3:56,"37.7833,-122.4167",Black car running red light,0.1,0
1234567997,Sensor data,10/26/2023 15:26,"37.7833,-122.4167",44 mph,0.7,1
1234567998,Traffic camera data,10/26/2023 13:57,"37.7833,-122.4167",22 mph,0,0
1234567999,Sensor data,10/26/2023 9:36,"37.7833,-122.4167",97 passengers,0.3,0
1234568000,Infrastructure data,10/26/2023 8:43,"37.7833,-122.4167",46 mph,1,1
1234568001,GPS data,10/26/2023 12:58,"37.7833,-122.4167",Bridge closure due to construction,0.1,0
1234568002,Traffic camera data,10/26/2023 4:02,"37.7833,-122.4167",Black car running red light,0.6,1
1234568003,Sensor data,10/26/2023 16:00,"37.7833,-122.4167",Bridge closure due to construction,0.7,1
1234568004,GPS data,10/26/2023 18:08,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568005,GPS data,10/26/2023 21:24,"37.7833,-122.4167",59 mph,0.4,0
1234568006,Sensor data,10/26/2023 2:26,"37.7833,-122.4167",Black car running red light,0.5,1
1234568007,Sensor data,10/26/2023 7:41,"37.7833,-122.4167",57 mph,0.5,1
1234568008,GPS data,10/26/2023 8:21,"37.7833,-122.4167",62 mph,0.6,1
1234568009,Traffic camera data,10/26/2023 7:49,"37.7833,-122.4167",Bridge closure due to construction,0.7,1
1234568010,Traffic camera data,10/26/2023 2:45,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234568011,Traffic camera data,10/26/2023 0:04,"37.7833,-122.4167",Bridge closure due to construction,0,0
1234568012,Infrastructure data,10/26/2023 16:33,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568013,Traffic camera data,10/26/2023 18:55,"37.7833,-122.4167",91 mph,0.3,0
1234568014,Sensor data,10/26/2023 19:15,"37.7833,-122.4167",Black car running red light,0.7,1
1234568015,Infrastructure data,10/26/2023 22:08,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568016,Sensor data,10/26/2023 3:46,"37.7833,-122.4167",27 mph,0.2,0
1234568017,Traffic camera data,10/26/2023 6:17,"37.7833,-122.4167",28 mph,0.1,0
1234568018,Traffic camera data,10/26/2023 0:34,"37.7833,-122.4167",Black car running red light,0.8,1
1234568019,Traffic camera data,10/26/2023 12:46,"37.7833,-122.4167",17 mph,0.6,1
1234568020,Infrastructure data,10/26/2023 9:12,"37.7833,-122.4167",Black car running red light,0.2,0
1234568021,Infrastructure data,10/26/2023 16:46,"37.7833,-122.4167",Black car running red light,0.9,1
1234568022,GPS data,10/26/2023 18:26,"37.7833,-122.4167",98 mph,0.2,0
1234568023,Infrastructure data,10/26/2023 11:08,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234568024,Infrastructure data,10/26/2023 10:58,"37.7833,-122.4167",61 mph,0.8,1
1234568025,Sensor data,10/26/2023 8:17,"37.7833,-122.4167",128 passengers,0.6,1
1234568026,GPS data,10/26/2023 6:02,"37.7833,-122.4167",99 passengers,0.9,1
1234568027,Infrastructure data,10/26/2023 12:54,"37.7833,-122.4167",Black car running red light,0.1,0
1234568028,Infrastructure data,10/26/2023 23:44,"37.7833,-122.4167",67 passengers,0.3,0
1234568029,Traffic camera data,10/26/2023 4:35,"37.7833,-122.4167",72 mph,0.4,0
1234568030,Traffic camera data,10/26/2023 23:53,"37.7833,-122.4167",38 mph,0.9,1
1234568031,Sensor data,10/26/2023 4:12,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234568032,Traffic camera data,10/26/2023 23:10,"37.7833,-122.4167",65 passengers,1,1
1234568033,Traffic camera data,10/26/2023 4:16,"37.7833,-122.4167",Black car running red light,0.2,0
1234568034,Infrastructure data,10/26/2023 16:44,"37.7833,-122.4167",79 passengers,0.5,1
1234568035,GPS data,10/26/2023 8:33,"37.7833,-122.4167",Black car running red light,0.2,0
1234568036,Infrastructure data,10/26/2023 7:18,"37.7833,-122.4167",43 passengers,0.6,1
1234568037,Infrastructure data,10/26/2023 21:13,"37.7833,-122.4167",Bridge closure due to construction,1,1
1234568038,Sensor data,10/26/2023 12:24,"37.7833,-122.4167",Black car running red light,0.8,1
1234568039,Sensor data,10/26/2023 21:13,"37.7833,-122.4167",Black car running red light,1,1
1234568040,Infrastructure data,10/26/2023 18:57,"37.7833,-122.4167",Bridge closure due to construction,0.1,0
1234568041,GPS data,10/26/2023 22:08,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568042,Traffic camera data,10/26/2023 6:41,"37.7833,-122.4167",57 mph,0,0
1234568043,Sensor data,10/26/2023 15:40,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568044,Sensor data,10/26/2023 18:11,"37.7833,-122.4167",Black car running red light,0.7,1
1234568045,Traffic camera data,10/26/2023 3:54,"37.7833,-122.4167",Black car running red light,0.8,1
1234568046,Sensor data,10/26/2023 8:03,"37.7833,-122.4167",Black car running red light,0.7,1
1234568047,GPS data,10/26/2023 6:13,"37.7833,-122.4167",47 mph,0.3,0
1234568048,Sensor data,10/26/2023 8:41,"37.7833,-122.4167",Black car running red light,1,1
1234568049,Sensor data,10/26/2023 22:29,"37.7833,-122.4167",15 passengers,0.7,1
1234568050,Sensor data,10/26/2023 16:00,"37.7833,-122.4167",Black car running red light,0.9,1
1234568051,Infrastructure data,10/26/2023 4:43,"37.7833,-122.4167",28 mph,0.9,1
1234568052,GPS data,10/26/2023 23:48,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568053,Infrastructure data,10/26/2023 20:36,"37.7833,-122.4167",142 passengers,0.3,0
1234568054,GPS data,10/26/2023 19:34,"37.7833,-122.4167",Black car running red light,0.2,0
1234568055,Traffic camera data,10/26/2023 2:38,"37.7833,-122.4167",198 passengers,0.1,0
1234568056,Traffic camera data,10/26/2023 23:55,"37.7833,-122.4167",Black car running red light,0.2,0
1234568057,Traffic camera data,10/26/2023 21:46,"37.7833,-122.4167",58 mph,0.9,1
1234568058,Sensor data,10/26/2023 10:58,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568059,GPS data,10/26/2023 10:14,"37.7833,-122.4167",17 mph,0.2,0
1234568060,Traffic camera data,10/26/2023 18:46,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234568061,Sensor data,10/26/2023 8:00,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568062,Sensor data,10/26/2023 1:37,"37.7833,-122.4167",81 passengers,0.9,1
1234568063,Infrastructure data,10/26/2023 19:17,"37.7833,-122.4167",Bridge closure due to construction,0.7,1
1234568064,GPS data,10/26/2023 4:56,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568065,Traffic camera data,10/26/2023 21:02,"37.7833,-122.4167",Black car running red light,0.2,0
1234568066,Sensor data,10/26/2023 21:43,"37.7833,-122.4167",200 passengers,0.5,1
1234568067,Infrastructure data,10/26/2023 17:21,"37.7833,-122.4167",Black car running red light,0.7,1
1234568068,Traffic camera data,10/26/2023 7:58,"37.7833,-122.4167",Black car running red light,0.6,1
1234568069,Traffic camera data,10/26/2023 13:03,"37.7833,-122.4167",Black car running red light,0.8,1
1234568070,Traffic camera data,10/26/2023 22:40,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234568071,Infrastructure data,10/26/2023 6:22,"37.7833,-122.4167",Black car running red light,0.3,0
1234568072,Sensor data,10/26/2023 3:18,"37.7833,-122.4167",Black car running red light,0.4,0
1234568073,Traffic camera data,10/26/2023 16:32,"37.7833,-122.4167",Black car running red light,0.1,0
1234568074,Traffic camera data,10/26/2023 17:38,"37.7833,-122.4167",106 passengers,0.3,0
1234568075,Sensor data,10/26/2023 7:26,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234568076,Sensor data,10/26/2023 20:56,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568077,Infrastructure data,10/26/2023 19:13,"37.7833,-122.4167",Black car running red light,0.5,1
1234568078,GPS data,10/26/2023 2:57,"37.7833,-122.4167",Black car running red light,0,0
1234568079,GPS data,10/26/2023 16:54,"37.7833,-122.4167",143 passengers,0.7,1
1234568080,Traffic camera data,10/26/2023 23:17,"37.7833,-122.4167",122 passengers,0.8,1
1234568081,Traffic camera data,10/26/2023 23:04,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234568082,Traffic camera data,10/26/2023 20:52,"37.7833,-122.4167",Black car running red light,0.9,1
1234568083,Infrastructure data,10/26/2023 17:57,"37.7833,-122.4167",87 mph,0.1,0
1234568084,Infrastructure data,10/26/2023 9:57,"37.7833,-122.4167",31 passengers,0.2,0
1234568085,GPS data,10/26/2023 12:02,"37.7833,-122.4167",124 passengers,0.8,1
1234568086,Infrastructure data,10/26/2023 18:34,"37.7833,-122.4167",Black car running red light,0.2,0
1234568087,GPS data,10/26/2023 9:29,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568088,Traffic camera data,10/26/2023 2:24,"37.7833,-122.4167",Black car running red light,0.3,0
1234568089,Infrastructure data,10/26/2023 19:24,"37.7833,-122.4167",Black car running red light,1,1
1234568090,GPS data,10/26/2023 19:51,"37.7833,-122.4167",Black car running red light,0.7,1
1234568091,Infrastructure data,10/26/2023 20:31,"37.7833,-122.4167",136 passengers,0.5,1
1234568092,GPS data,10/26/2023 7:13,"37.7833,-122.4167",Bridge closure due to construction,0.7,1
1234568093,Sensor data,10/26/2023 7:28,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568094,Traffic camera data,10/26/2023 21:11,"37.7833,-122.4167",Black car running red light,0.9,1
1234568095,Traffic camera data,10/26/2023 6:01,"37.7833,-122.4167",161 passengers,0.3,0
1234568096,Infrastructure data,10/26/2023 16:08,"37.7833,-122.4167",89 passengers,0,0
1234568097,Traffic camera data,10/26/2023 10:59,"37.7833,-122.4167",28 mph,0.2,0
1234568098,Sensor data,10/26/2023 18:00,"37.7833,-122.4167",6 passengers,0.3,0
1234568099,GPS data,10/26/2023 16:55,"37.7833,-122.4167",128 passengers,0.5,1
1234568100,Infrastructure data,10/26/2023 12:05,"37.7833,-122.4167",26 mph,0.8,1
1234568101,Sensor data,10/26/2023 15:33,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568102,Sensor data,10/26/2023 20:29,"37.7833,-122.4167",6 mph,1,1
1234568103,Traffic camera data,10/26/2023 5:29,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234568104,Sensor data,10/26/2023 21:33,"37.7833,-122.4167",43 passengers,0.7,1
1234568105,GPS data,10/26/2023 13:17,"37.7833,-122.4167",Black car running red light,0.1,0
1234568106,Infrastructure data,10/26/2023 3:59,"37.7833,-122.4167",Black car running red light,0.1,0
1234568107,Traffic camera data,10/26/2023 23:30,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568108,Infrastructure data,10/26/2023 8:12,"37.7833,-122.4167",96 mph,0.6,1
1234568109,GPS data,10/26/2023 12:47,"37.7833,-122.4167",40 mph,0.8,1
1234568110,Infrastructure data,10/26/2023 13:03,"37.7833,-122.4167",66 mph,0.3,0
1234568111,GPS data,10/26/2023 9:15,"37.7833,-122.4167",152 passengers,0.2,0
1234568112,Traffic camera data,10/26/2023 5:32,"37.7833,-122.4167",Black car running red light,0.1,0
1234568113,Infrastructure data,10/26/2023 21:55,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568114,Infrastructure data,10/26/2023 23:19,"37.7833,-122.4167",Black car running red light,0.2,0
1234568115,Infrastructure data,10/26/2023 2:13,"37.7833,-122.4167",Bridge closure due to construction,0,0
1234568116,Infrastructure data,10/26/2023 23:00,"37.7833,-122.4167",Bridge closure due to construction,0.1,0
1234568117,GPS data,10/26/2023 16:35,"37.7833,-122.4167",Black car running red light,0.7,1
1234568118,GPS data,10/26/2023 5:03,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568119,Infrastructure data,10/26/2023 4:53,"37.7833,-122.4167",Bridge closure due to construction,0.1,0
1234568120,Sensor data,10/26/2023 1:48,"37.7833,-122.4167",63 mph,0.5,1
1234568121,Infrastructure data,10/26/2023 12:53,"37.7833,-122.4167",193 passengers,0.7,1
1234568122,GPS data,10/26/2023 10:18,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234568123,Sensor data,10/26/2023 20:16,"37.7833,-122.4167",Bridge closure due to construction,0,0
1234568124,Infrastructure data,10/26/2023 20:32,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234568125,Traffic camera data,10/26/2023 21:26,"37.7833,-122.4167",Black car running red light,0.3,0
1234568126,Infrastructure data,10/26/2023 18:01,"37.7833,-122.4167",22 passengers,0.6,1
1234568127,Traffic camera data,10/26/2023 6:30,"37.7833,-122.4167",33 passengers,0.7,1
1234568128,GPS data,10/26/2023 7:41,"37.7833,-122.4167",Black car running red light,0.6,1
1234568129,Traffic camera data,10/26/2023 17:54,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568130,Traffic camera data,10/26/2023 22:10,"37.7833,-122.4167",Black car running red light,0.2,0
1234568131,Traffic camera data,10/26/2023 0:28,"37.7833,-122.4167",7 mph,0.1,0
1234568132,GPS data,10/26/2023 17:59,"37.7833,-122.4167",191 passengers,0.6,1
1234568133,Infrastructure data,10/26/2023 9:51,"37.7833,-122.4167",44 mph,0.5,1
1234568134,GPS data,10/26/2023 22:41,"37.7833,-122.4167",Black car running red light,0.6,1
1234568135,Infrastructure data,10/26/2023 6:24,"37.7833,-122.4167",50 passengers,0.7,1
1234568136,Infrastructure data,10/26/2023 21:19,"37.7833,-122.4167",Black car running red light,0.7,1
1234568137,Sensor data,10/26/2023 16:39,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568138,Sensor data,10/26/2023 18:18,"37.7833,-122.4167",105 passengers,0.7,1
1234568139,GPS data,10/26/2023 19:25,"37.7833,-122.4167",32 mph,0.7,1
1234568140,Sensor data,10/26/2023 22:42,"37.7833,-122.4167",95 passengers,0.9,1
1234568141,Sensor data,10/26/2023 9:08,"37.7833,-122.4167",146 passengers,0.5,1
1234568142,Infrastructure data,10/26/2023 19:01,"37.7833,-122.4167",16 mph,0.6,1
1234568143,Infrastructure data,10/26/2023 11:59,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568144,GPS data,10/26/2023 23:16,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234568145,Traffic camera data,10/26/2023 17:18,"37.7833,-122.4167",Black car running red light,0.7,1
1234568146,Infrastructure data,10/26/2023 11:21,"37.7833,-122.4167",59 passengers,1,1
1234568147,Traffic camera data,10/26/2023 4:35,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568148,Traffic camera data,10/26/2023 19:47,"37.7833,-122.4167",21 passengers,0.8,1
1234568149,GPS data,10/26/2023 7:41,"37.7833,-122.4167",59 mph,0.2,0
1234568150,Traffic camera data,10/26/2023 9:53,"37.7833,-122.4167",30 mph,0.9,1
1234568151,Sensor data,10/26/2023 8:26,"37.7833,-122.4167",Black car running red light,0.5,1
1234568152,Infrastructure data,10/26/2023 0:30,"37.7833,-122.4167",Black car running red light,0.2,0
1234568153,Sensor data,10/26/2023 14:33,"37.7833,-122.4167",Black car running red light,0.9,1
1234568154,GPS data,10/26/2023 15:40,"37.7833,-122.4167",22 passengers,0.8,1
1234568155,GPS data,10/26/2023 22:49,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568156,Traffic camera data,10/26/2023 21:10,"37.7833,-122.4167",50 passengers,0.3,0
1234568157,Sensor data,10/26/2023 12:53,"37.7833,-122.4167",64 mph,0.6,1
1234568158,Sensor data,10/26/2023 11:34,"37.7833,-122.4167",7 mph,0.6,1
1234568159,GPS data,10/26/2023 5:07,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234568160,GPS data,10/26/2023 14:58,"37.7833,-122.4167",62 passengers,0.6,1
1234568161,Sensor data,10/26/2023 0:31,"37.7833,-122.4167",Bridge closure due to construction,0.2,0
1234568162,Traffic camera data,10/26/2023 9:41,"37.7833,-122.4167",33 mph,1,1
1234568163,Sensor data,10/26/2023 23:51,"37.7833,-122.4167",Black car running red light,0,0
1234568164,Infrastructure data,10/26/2023 12:56,"37.7833,-122.4167",140 passengers,1,1
1234568165,Traffic camera data,10/26/2023 11:43,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234568166,Infrastructure data,10/26/2023 18:08,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234568167,Traffic camera data,10/26/2023 5:10,"37.7833,-122.4167",197 passengers,0.2,0
1234568168,Sensor data,10/26/2023 5:02,"37.7833,-122.4167",53 mph,0.2,0
1234568169,Infrastructure data,10/26/2023 6:14,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568170,GPS data,10/26/2023 21:40,"37.7833,-122.4167",82 mph,0.6,1
1234568171,Traffic camera data,10/26/2023 1:57,"37.7833,-122.4167",Bridge closure due to construction,1,1
1234568172,Infrastructure data,10/26/2023 13:02,"37.7833,-122.4167",Bridge closure due to construction,0,0
1234568173,Sensor data,10/26/2023 8:08,"37.7833,-122.4167",54 mph,0.8,1
1234568174,GPS data,10/26/2023 16:13,"37.7833,-122.4167",145 passengers,0.3,0
1234568175,Sensor data,10/26/2023 5:11,"37.7833,-122.4167",Bridge closure due to construction,0.7,1
1234568176,Traffic camera data,10/26/2023 0:13,"37.7833,-122.4167",Black car running red light,0,0
1234568177,Sensor data,10/26/2023 23:29,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234568178,Infrastructure data,10/26/2023 0:36,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234568179,Traffic camera data,10/26/2023 19:50,"37.7833,-122.4167",61 mph,0.3,0
